"","model_name","fam_name","training_time_std","performance_score","accuracy","precision","recall"
"69","NBY_bank_003","NBY",0.9976,0.9993969571,1,1,1
"131","SVM_bank_007","SVM",0.9934,0.9983554475,1,1,1
"109","RFR_kick_011","RFR",0.9958,0.9913706241,0.9899,0.9899,0.9899
"66","LGR_bank_022","LGR",0.9611,0.9902688874,1,1,1
"128","RFR_kick_030","RFR",0.9948,0.987526879,0.9851,0.9851,0.9851
"126","RFR_kick_028","RFR",0.9966,0.9874805262,0.9844,0.9844,0.9844
"121","RFR_kick_023","RFR",0.9966,0.9868672586,0.9836,0.9836,0.9836
"123","RFR_kick_024","RFR",0.9962,0.9867122848,0.9835,0.9835,0.9835
"124","RFR_kick_026","RFR",0.9963,0.9850448048,0.9813,0.9813,0.9813
"116","RFR_kick_020","RFR",0.9964,0.9845796777,0.9807,0.9807,0.9807
"125","RFR_kick_027","RFR",0.998,0.9843274848,0.9798,0.9798,0.9798
"133","RFR_kick_029","RFR",0.9958,0.9842390896,0.9804,0.9804,0.9804
"120","RFR_kick_022","RFR",0.9961,0.9830017808,0.9786,0.9786,0.9786
"122","RFR_kick_025","RFR",0.9986,0.9700801637,0.9606,0.9606,0.9606
"41","DTR_kick_019","DTR",0.9981,0.9539065865,0.9388,0.9394,0.9394
"34","DTR_kick_012","DTR",0.9969,0.9537183529,0.9393,0.9393,0.9393
"39","DTR_kick_018","DTR",0.9983,0.9536772135,0.9385,0.939,0.939
"99","RFR_kick_001","RFR",0.9997,0.9507847292,0.9021,0.9045,0.9969
"100","RFR_kick_002","RFR",0.9995,0.9506213778,0.9019,0.9047,0.9964
"102","RFR_kick_004","RFR",0.9995,0.9506169281,0.9019,0.9047,0.9964
"103","RFR_kick_005","RFR",0.9995,0.9506157434,0.9019,0.9047,0.9964
"104","RFR_kick_006","RFR",0.9993,0.9496384531,0.9002,0.9046,0.9945
"101","RFR_kick_003","RFR",0.9993,0.9489453298,0.8991,0.9056,0.9918
"73","RFR_bank_003","RFR",0.9965,0.9487251651,0.9035,0.9222,0.9727
"77","RFR_bank_002","RFR",0.9971,0.9484027659,0.9024,0.9204,0.9738
"72","RFR_bank_001","RFR",0.9983,0.9477095737,0.9006,0.9199,0.9721
"35","DTR_kick_011","DTR",0.9972,0.9461344233,0.9291,0.9291,0.9291
"118","RFR_kick_021","RFR",0.9976,0.9340967107,0.9129,0.9129,0.9129
"24","DTR_bank_004","DTR",0.9984,0.9324784363,0.8743,0.9314,0.9259
"23","DTR_bank_003","DTR",0.9984,0.9323921446,0.8742,0.9322,0.9248
"15","DTR_bank_001","DTR",0.997,0.9304455897,0.8711,0.9292,0.9244
"16","DTR_bank_002","DTR",0.9961,0.9298350324,0.8704,0.9289,0.924
"67","NBY_bank_001","NBY",0.9996,0.9202700354,0.8509,0.9188,0.9117
"68","NBY_bank_002","NBY",0.9993,0.9187047548,0.8492,0.9344,0.8919
"31","DTR_kick_007","DTR",0.9997,0.9121565437,0.8297,0.9092,0.9101
"25","DTR_kick_002","DTR",0.9997,0.9089205585,0.8276,0.9082,0.9002
"30","DTR_kick_006","DTR",0.9998,0.9086823647,0.8273,0.9105,0.8971
"29","DTR_kick_005","DTR",0.9964,0.9073312593,0.8238,0.9098,0.8993
"27","DTR_kick_003","DTR",0.9997,0.9071064872,0.8244,0.9104,0.8939
"26","DTR_kick_001","DTR",0.9999,0.9070768716,0.8238,0.9086,0.896
"137","SVM_kick_004","SVM",0.9999,0.9069929068,0.8995,0.829,0.8995
"28","DTR_kick_004","DTR",0.9999,0.9068423592,0.8238,0.9098,0.8939
"136","SVM_kick_003","SVM",0.9998,0.9058687315,0.9005,0.8227,0.9005
"139","SVM_kick_005","SVM",0.9999,0.9058206715,0.8984,0.8266,0.8984
"134","SVM_kick_002","SVM",0.9999,0.9057899134,0.9004,0.8224,0.9004
"135","SVM_kick_001","SVM",0.9997,0.90512766,0.9006,0.8196,0.9006
"138","SVM_kick_006","SVM",0.9998,0.904963313,0.8986,0.8229,0.8986
"70","NBY_kick_001","NBY",0.9997,0.9031786581,0.886,0.8411,0.886
"37","DTR_kick_017","DTR",0.9986,0.8868368659,0.8496,0.8496,0.8496
"108","RFR_kick_010","RFR",0.9973,0.871576915,0.8297,0.8297,0.8297
"107","RFR_kick_009","RFR",0.9975,0.8681914262,0.8251,0.8251,0.8251
"71","NBY_kick_003","NBY",0.9998,0.8681227153,0.8134,0.846,0.8134
"38","DTR_kick_016","DTR",0.9986,0.817758052,0.7575,0.7575,0.7575
"105","RFR_kick_008","RFR",0.9976,0.8130074242,0.7515,0.7515,0.7515
"33","DTR_kick_010","DTR",0.9984,0.8096230446,0.7467,0.7467,0.7467
"42","GBE_bank_001","GBE",0.9613,0.7869938796,0.8977,0.551,0.738
"14","DLN_bank_014","DLN",0.9895,0.781531522,0.8844,0.5198,0.7325
"17","DLN_bank_011","DLN",0.9805,0.7793633039,0.893,0.5498,0.6941
"43","GBE_bank_002","GBE",0.9221,0.7778449788,0.9006,0.5598,0.7288
"11","DLN_bank_017","DLN",0.9803,0.7768458676,0.8919,0.5461,0.6891
"7","DLN_bank_006","DLN",0.971,0.7765990882,0.8874,0.5293,0.7187
"83","RFR_bank_017","RFR",0.9179,0.7763603944,0.8923,0.5482,0.747
"85","RFR_bank_019","RFR",0.9179,0.7763603944,0.8923,0.5482,0.747
"12","DLN_bank_015","DLN",0.98,0.774765607,0.894,0.5555,0.6696
"3","DLN_bank_005","DLN",0.9827,0.7742025675,0.8891,0.5366,0.6884
"6","DLN_bank_008","DLN",0.9678,0.7712308977,0.8897,0.5384,0.6891
"10","DLN_bank_016","DLN",0.9651,0.7689645134,0.8898,0.5392,0.6819
"86","RFR_bank_020","RFR",0.91,0.7676352467,0.8897,0.5141,0.7567
"45","GBE_bank_003","GBE",0.9355,0.7657483301,0.8942,0.5258,0.7075
"1","DLN_bank_002","DLN",0.9148,0.7634041356,0.8947,0.5565,0.6876
"44","GBE_bank_004","GBE",0.898,0.763375317,0.8892,0.5203,0.746
"8","DLN_bank_010","DLN",0.9301,0.7622938535,0.8881,0.5325,0.6985
"2","DLN_bank_001","DLN",0.9232,0.7619363261,0.8869,0.5283,0.7093
"4","DLN_bank_004","DLN",0.9232,0.7619363261,0.8869,0.5283,0.7093
"5","DLN_bank_009","DLN",0.9232,0.7619363261,0.8869,0.5283,0.7093
"117","RFR_kick_019","RFR",0.9959,0.7550514734,0.6748,0.6748,0.6748
"40","DTR_kick_015","DTR",0.9993,0.7534915278,0.6716,0.6716,0.6716
"9","DLN_bank_012","DLN",0.9215,0.7531841953,0.8859,0.5263,0.679
"129","RFR_kick_032","RFR",0.9988,0.7439534737,0.659,0.659,0.659
"97","RFR_bank_028","RFR",0.9973,0.7403445347,0.904,0.6327,0.4274
"98","RFR_bank_031","RFR",0.9956,0.7343866991,0.9045,0.6622,0.3752
"18","DTR_bank_006","DTR",0.9991,0.7343067081,0.903,0.6365,0.3986
"110","RFR_bank_030","RFR",0.9965,0.734206896,0.9033,0.6391,0.3979
"22","DTR_bank_013","DTR",0.9989,0.7330854476,0.8967,0.5716,0.4652
"21","DTR_bank_011","DTR",0.9992,0.7313667928,0.9039,0.6691,0.3533
"115","RFR_kick_018","RFR",0.9976,0.7305398389,0.6415,0.6415,0.6415
"89","RFR_bank_022","RFR",0.997,0.7300552067,0.9023,0.6366,0.3843
"58","LGR_bank_006","LGR",0.9779,0.7284351889,0.9006,0.6631,0.3722
"95","RFR_bank_023","RFR",0.9972,0.7272561272,0.9024,0.6494,0.3601
"91","RFR_bank_024","RFR",0.997,0.7272049803,0.9024,0.6494,0.3601
"96","RFR_bank_029","RFR",0.9967,0.7271512885,0.9024,0.6494,0.3601
"56","LGR_bank_014","LGR",0.9975,0.7257701571,0.9023,0.6553,0.348
"94","LGR_bank_007","LGR",0.9973,0.7257229709,0.9023,0.6553,0.348
"90","RFR_bank_025","RFR",0.997,0.7253824224,0.9015,0.6384,0.3646
"65","LGR_bank_021","LGR",0.9977,0.7250856092,0.9022,0.657,0.3434
"60","LGR_bank_004","LGR",0.997,0.7243908533,0.902,0.6529,0.3457
"88","RFR_bank_021","RFR",0.9984,0.7238442453,0.9048,0.6276,0.3646
"92","RFR_bank_026","RFR",0.9988,0.7232667092,0.8975,0.5891,0.4077
"52","LGR_bank_010","LGR",0.9951,0.7225341117,0.9018,0.6559,0.3374
"55","LGR_bank_013","LGR",0.9811,0.7222413712,0.9024,0.6544,0.351
"49","LGR_bank_009","LGR",0.981,0.7222220878,0.9024,0.6544,0.351
"48","LGR_bank_003","LGR",0.9785,0.7220827563,0.9026,0.6563,0.351
"32","DTR_kick_008","DTR",0.9999,0.7212268168,0.6283,0.6283,0.6283
"64","LGR_bank_020","LGR",0.9814,0.7210178453,0.9022,0.657,0.3434
"36","DTR_kick_014","DTR",0.9993,0.7188905557,0.6254,0.6254,0.6254
"93","RFR_bank_027","RFR",0.9982,0.7180105786,0.8989,0.6164,0.3585
"47","LGR_bank_002","LGR",0.9748,0.7173145844,0.9014,0.6452,0.348
"79","RFR_bank_008","RFR",0.9859,0.7171643363,0.8994,0.6187,0.3646
"51","LGR_bank_008","LGR",0.9765,0.7162456755,0.9009,0.6419,0.3457
"112","RFR_kick_014","RFR",0.9996,0.7159675307,0.6214,0.6214,0.6214
"63","LGR_bank_019","LGR",0.9758,0.7149550099,0.901,0.6495,0.3336
"62","LGR_bank_018","LGR",0.9976,0.7148429398,0.9002,0.6628,0.2988
"50","LGR_bank_005","LGR",0.9752,0.714309355,0.9005,0.6389,0.3427
"53","LGR_bank_011","LGR",0.9755,0.7140156856,0.9006,0.6448,0.3351
"76","RFR_bank_005","RFR",0.9971,0.7138237817,0.8992,0.6368,0.3222
"78","RFR_bank_007","RFR",0.997,0.7138157728,0.8992,0.6368,0.3222
"75","RFR_bank_006","RFR",0.9966,0.7137054685,0.8992,0.6368,0.3222
"20","DTR_bank_010","DTR",0.9994,0.7132124876,0.8966,0.5953,0.3616
"19","DTR_bank_009","DTR",0.9994,0.7132008428,0.8966,0.5953,0.3616
"113","RFR_kick_015","RFR",0.9973,0.7131336123,0.6184,0.6184,0.6184
"114","RFR_kick_016","RFR",0.9994,0.7125712182,0.617,0.617,0.617
"59","LGR_bank_016","LGR",0.9884,0.7112964842,0.8998,0.6589,0.298
"61","LGR_bank_017","LGR",0.9841,0.7103163004,0.8998,0.6578,0.2995
"119","RFR_kick_017","RFR",0.9991,0.7093876982,0.6128,0.6128,0.6128
"127","RFR_kick_012","RFR",0.9987,0.7086937322,0.612,0.612,0.612
"140","SVM_bank_005","SVM",0.9343,0.7035248362,0.9012,0.6624,0.3162
"106","RFR_kick_007","RFR",0.9972,0.7033103136,0.6054,0.6054,0.6054
"111","RFR_kick_013","RFR",0.9951,0.6988671514,0.6001,0.6001,0.6001
"130","RFR_kick_031","RFR",0.9998,0.6975069661,0.5968,0.5968,0.5968
"13","DLN_kick_004","DLN",0.9798,0.6974490167,0.8907,0.5805,0.3388
"132","SVM_bank_003","SVM",0.9769,0.6955819484,0.8964,0.6269,0.2821
"87","RFR_bank_016","RFR",0.9976,0.6920380874,0.8952,0.6635,0.2118
"84","RFR_bank_015","RFR",0.9981,0.6880116176,0.8935,0.7092,0.1513
"57","LGR_bank_015","LGR",0.9983,0.6839179422,0.8934,0.6315,0.2126
"46","LGR_bank_001","LGR",0.986,0.6818558635,0.8937,0.6382,0.2095
"54","LGR_bank_012","LGR",0.984,0.6817582501,0.8937,0.6397,0.2095
"81","RFR_bank_013","RFR",0.9983,0.6813648299,0.8922,0.6973,0.1377
"74","RFR_bank_004","RFR",0.9993,0.6807162222,0.8923,0.6829,0.1483
"80","RFR_bank_011","RFR",0.9987,0.6763523752,0.891,0.694,0.1218
"82","RFR_bank_014","RFR",0.996,0.671811991,0.89,0.6946,0.1067
